,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_hate_f1,eval_hate_recall,eval_hate_precision,eval_offensive_f1,eval_offensive_recall,eval_offensive_precision,eval_normal_f1,eval_normal_recall,eval_normal_precision,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,model_run
0,0.5095458030700684,0.8046371833404895,0.7614654326755167,0.7643131528764272,0.7626355182883525,0.7767729652546407,0.8217522658610272,0.7364620938628159,0.8710570005534034,0.8744444444444445,0.8676957001102535,0.6365663322185061,0.5917098445595855,0.6887816646562123,3.7141,1254.149,78.62,3.0,1
1,0.49607667326927185,0.806784027479605,0.7680043499917449,0.760762195046031,0.7778519121472646,0.7896470588235295,0.8449144008056395,0.741166077738516,0.8738636363636363,0.8544444444444445,0.8941860465116279,0.6405023547880692,0.6341968911917099,0.6469344608879493,3.7606,1238.621,77.646,3.0,2
2,0.5139545798301697,0.798196650923143,0.7532370396011645,0.752711302539354,0.7578317228467242,0.7648991083998123,0.8207452165156093,0.7161687170474517,0.8700186219739292,0.8651851851851852,0.8749063670411985,0.6247933884297521,0.5875647668393782,0.6670588235294118,3.739,1245.774,78.095,3.0,3
3,0.5313422083854675,0.787677114641477,0.7386521908815994,0.7456329498777846,0.7407055568213727,0.72744014732965,0.7955689828801611,0.6700593723494487,0.8641655886157827,0.8659259259259259,0.8624123939505718,0.6243508366993652,0.5606217616580311,0.7044270833333334,3.7302,1248.74,78.281,3.0,4
4,0.5168793797492981,0.7962644911979391,0.7529331867063641,0.750973305228183,0.7562592532683688,0.7656702025072324,0.7995971802618328,0.7345050878815911,0.8674609084139985,0.8629629629629629,0.8720059880239521,0.625668449197861,0.6062176165803109,0.6464088397790055,4.0403,1152.874,72.271,3.0,5
5,0.5128905177116394,0.7996994418205239,0.7538888498590651,0.7659744256717836,0.7444767566015263,0.7660010240655402,0.7532729103726082,0.7791666666666667,0.8670624212987947,0.8925925925925926,0.8429520811472543,0.6286031042128604,0.5875647668393782,0.6758045292014303,3.7262,1250.066,78.364,3.0,6
6,0.5146453976631165,0.806784027479605,0.7581299291328758,0.7720681203712516,0.751866477354531,0.7729703451628586,0.8006042296072508,0.7471804511278195,0.8751803751803751,0.8985185185185185,0.8530239099859352,0.6262390670553935,0.5564766839378238,0.716,3.6912,1261.929,79.108,3.0,7
7,0.5027996897697449,0.7979819665092315,0.7462790057206211,0.7628841756915854,0.7335513708220062,0.7570977917981072,0.7250755287009063,0.7920792079207921,0.872416250890948,0.9066666666666666,0.8406593406593407,0.609322974472808,0.5689119170984456,0.6559139784946236,3.6953,1260.515,79.019,3.0,8
8,0.5238953232765198,0.7966938600257621,0.7413781362863068,0.7665357887931217,0.7367393670875556,0.7655591951333646,0.823766364551863,0.715034965034965,0.8676945141627823,0.8962962962962963,0.8408617095205003,0.5908806995627732,0.49015544041450776,0.7437106918238994,3.7282,1249.391,78.322,3.0,9
9,0.4998571276664734,0.8097896092743667,0.7664452923758206,0.7721989562816182,0.7633029517889861,0.7860647693817467,0.8066465256797583,0.7665071770334928,0.8750913075237399,0.8874074074074074,0.8631123919308358,0.6381798002219755,0.5958549222797928,0.6869772998805257,3.7606,1238.645,77.648,3.0,10
