,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_hate_f1,eval_hate_recall,eval_hate_precision,eval_offensive_f1,eval_offensive_recall,eval_offensive_precision,eval_normal_f1,eval_normal_recall,eval_normal_precision,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,model_run
0,0.5147103667259216,0.8012022327179047,0.7589289467120542,0.7605153576730211,0.761209228367523,0.7866983372921615,0.8338368580060423,0.7446043165467626,0.8656440583995564,0.8674074074074074,0.8638878642567318,0.6244444444444446,0.5823834196891192,0.6730538922155689,3.808,1223.214,76.681,3.0,1
1,0.4943062365055084,0.8052812365822242,0.7647509490875105,0.7649842365180678,0.7653034724166846,0.793713163064833,0.8136958710976838,0.7746883988494727,0.8699186991869918,0.8718518518518519,0.8679941002949852,0.6306209850107066,0.6103626943005181,0.6522702104097453,3.8266,1217.271,76.308,3.0,2
2,0.49906453490257263,0.802490339201374,0.7583166718700398,0.7596103247214189,0.7579002431721725,0.775972427375677,0.7935548841893253,0.7591522157996147,0.8728345005528936,0.8770370370370371,0.8686720469552458,0.6261430876815491,0.6031088082901555,0.6510067114093959,3.7502,1242.061,77.862,3.0,3
3,0.49408334493637085,0.8160154572778017,0.7747536511593694,0.7764787610361493,0.7765794837514491,0.7914285714285715,0.8368580060422961,0.7506775067750677,0.8801775147928994,0.8814814814814815,0.8788774002954209,0.6526548672566371,0.6113989637305699,0.6998813760379596,3.8453,1211.344,75.937,3.0,4
4,0.53692227602005,0.7977672820953199,0.7543101520860883,0.7542545435184641,0.7562919712599596,0.7824409068982152,0.8167170191339376,0.7509259259259259,0.8660251665433012,0.8666666666666667,0.8653846153846154,0.6144643828167483,0.5854922279792746,0.6464530892448512,3.7337,1247.555,78.207,3.0,5
5,0.5148696303367615,0.8046371833404895,0.7588752112540552,0.7611537585221796,0.7599134818803588,0.7884892086330935,0.8277945619335347,0.7527472527472527,0.8740331491712707,0.8788888888888889,0.8692307692307693,0.6141032759578012,0.5730569948186528,0.6614832535885168,3.7808,1232.0,77.231,3.0,6
6,0.49946093559265137,0.8110777157578359,0.7665353325858867,0.7732907468463616,0.7639073321347688,0.7904946653734238,0.8207452165156093,0.7623947614593077,0.8766423357664234,0.8896296296296297,0.8640287769784173,0.6324689966178128,0.5813471502590674,0.6934487021013597,3.7332,1247.707,78.216,3.0,7
7,0.4874347746372223,0.8127951910691283,0.7712266493128569,0.7728946004419003,0.7716688030954737,0.8007755695588948,0.8318227593152064,0.77196261682243,0.876889052709178,0.8811111111111111,0.8727072633895818,0.636015325670498,0.6020725388601036,0.6740139211136891,3.7572,1239.751,77.717,3.0,8
8,0.5065240263938904,0.7883211678832117,0.734842302378146,0.7580742628847618,0.7294265365136071,0.7556603773584906,0.8066465256797583,0.7107364685004437,0.858013624955181,0.8862962962962962,0.8314801945795691,0.5908529048207664,0.49533678756476685,0.7320061255742726,3.8016,1225.283,76.81,3.0,9
9,0.49631503224372864,0.8115070845856591,0.7702591750205728,0.769864802984262,0.7727135332087615,0.7932692307692307,0.8308157099697885,0.7589696412143514,0.8769002595476454,0.8759259259259259,0.8778767631774314,0.6406080347448424,0.6113989637305699,0.6727480045610034,3.775,1233.911,77.351,3.0,10
