,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_hate_f1,eval_hate_recall,eval_hate_precision,eval_offensive_f1,eval_offensive_recall,eval_offensive_precision,eval_normal_f1,eval_normal_recall,eval_normal_precision,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,model_run
0,0.5068480372428894,0.8057106054100472,0.7614339252941004,0.7704689069404981,0.7563641595563495,0.7803439803439802,0.7995971802618328,0.761996161228407,0.8704174228675136,0.8881481481481481,0.8533807829181494,0.6335403726708074,0.5813471502590674,0.6960297766749379,3.9762,1171.48,73.438,3.0,1
1,0.5194059610366821,0.8050665521683126,0.7664860616771874,0.7613431389421902,0.7786087142718275,0.7820976491862568,0.8710976837865055,0.7095980311730927,0.8695652173913042,0.8481481481481481,0.8920919361121932,0.6477953184540011,0.616580310880829,0.6823394495412844,3.9435,1181.179,74.046,3.0,2
2,0.508194088935852,0.8039931300987548,0.755277782592743,0.7643962056524782,0.7526155087145231,0.7708533077660595,0.8096676737160121,0.7355901189387009,0.8747268754552076,0.8896296296296297,0.8603151862464183,0.6202531645569621,0.5585492227979275,0.6972833117723156,3.8465,1210.975,75.913,3.0,3
3,0.52127605676651,0.7977672820953199,0.7622044727597556,0.7517111798013083,0.7795282038556984,0.7579990986931049,0.8469284994964753,0.6859706362153344,0.8650532429816069,0.8274074074074074,0.9062880324543611,0.6635610766045549,0.6642487046632124,0.6628748707342296,4.6216,1007.873,63.181,3.0,4
4,0.5154547691345215,0.7977672820953199,0.753893335847429,0.7558173220317324,0.7522422453238685,0.7725450901803607,0.7764350453172205,0.7686939182452642,0.8684452621895126,0.8740740740740741,0.8628884826325411,0.6206896551724138,0.6062176165803109,0.6358695652173914,3.8413,1212.613,76.016,3.0,5
5,0.5015097260475159,0.8007728638900816,0.7538214376351228,0.7584642485315364,0.7513342099358723,0.7777777777777777,0.796576032225579,0.7598463016330451,0.8718698592579053,0.8833333333333333,0.8607001082641645,0.6118166758696852,0.5740932642487047,0.6548463356973995,4.5414,1025.672,64.297,3.0,6
6,0.4963186979293823,0.8104336625161014,0.764197636779154,0.7741279783876133,0.7600731603666656,0.7802516940948692,0.8116817724068479,0.7511649580615097,0.8773841961852862,0.8944444444444445,0.8609625668449198,0.6349570200573066,0.5740932642487047,0.7102564102564103,3.9534,1178.235,73.861,3.0,7
7,0.5007979869842529,0.8057106054100472,0.7600848494603344,0.7699191455949942,0.7521022072952425,0.7691521961184883,0.7583081570996979,0.7803108808290156,0.8743900234953912,0.8959259259259259,0.8538651606071302,0.6367123287671232,0.6020725388601036,0.6755813953488372,4.4971,1035.768,64.93,3.0,8
8,0.5029985308647156,0.802490339201374,0.7591510415691282,0.7629384967829367,0.7606473910735346,0.7794048181388757,0.8308157099697885,0.7339857651245552,0.8678341013824885,0.8718518518518519,0.8638532110091743,0.6302142051860202,0.5792746113989637,0.6909765142150803,4.8758,955.332,59.888,3.0,9
9,0.512999951839447,0.8033490768570202,0.7587743863755486,0.7649543310261199,0.7554890276842908,0.7741303282704557,0.7955689828801611,0.7538167938931297,0.8704379562043795,0.8833333333333333,0.8579136690647482,0.6317548746518106,0.5875647668393782,0.6831325301204819,4.6774,995.847,62.428,3.0,10
