,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_hate_f1,eval_hate_recall,eval_hate_precision,eval_offensive_f1,eval_offensive_recall,eval_offensive_precision,eval_normal_f1,eval_normal_recall,eval_normal_precision,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,model_run
0,0.5564886927604675,0.7801631601545728,0.7370938053343732,0.7371454207203,0.7408725963726512,0.7381288199341797,0.7905337361530715,0.6922398589065256,0.8498045784477946,0.8455555555555555,0.8540965207631874,0.6233480176211453,0.5865284974093264,0.6650998824911868,5.8722,793.223,24.863,3.0,1
1,0.5341225266456604,0.7812365822241305,0.7328636927677122,0.7351470515269223,0.734030684567447,0.7408114558472553,0.7814702920443102,0.7041742286751361,0.8566685113447703,0.86,0.8533627342888643,0.6011111111111112,0.5606217616580311,0.6479041916167665,6.6495,700.499,21.956,3.0,2
2,0.5311299562454224,0.7913267496779733,0.7414641395648812,0.746551759529812,0.7409332454411741,0.7421203438395415,0.7824773413897281,0.7057220708446866,0.8678414096916299,0.8755555555555555,0.8602620087336245,0.6144306651634723,0.5647668393782384,0.6736711990111248,5.7815,805.679,25.253,3.0,3
3,0.5336604714393616,0.7962644911979391,0.7489413954684284,0.757815640106683,0.7482100243829238,0.7515265382808831,0.8056394763343404,0.704225352112676,0.8668254259021799,0.8762962962962964,0.8575570859006887,0.6284722222222222,0.5626943005181347,0.7116644823066841,6.2582,744.306,23.329,3.0,4
4,0.5462617874145508,0.7870330613997424,0.7385901645750894,0.7410509559784376,0.7416280244575201,0.7424029920523609,0.7995971802618328,0.6928446771378709,0.8629121896998888,0.8625925925925926,0.863232023721275,0.6104553119730186,0.5626943005181347,0.6670761670761671,5.823,799.933,25.073,3.0,5
5,0.531035840511322,0.7870330613997424,0.7408051508904764,0.7406282309472892,0.7435108955936615,0.7474940334128878,0.7885196374622356,0.7105263157894737,0.8613843013546112,0.8596296296296296,0.8631461509854965,0.6135371179039302,0.5823834196891192,0.6482122260668973,6.49,717.715,22.496,3.0,6
6,0.5224287509918213,0.7949763847144697,0.7484494147956654,0.7541713729504753,0.7476446041499863,0.7451167222486899,0.7875125881168177,0.7070524412296564,0.8666911494674991,0.8740740740740741,0.8594319009468318,0.6335403726708074,0.5813471502590674,0.6960297766749379,5.803,802.684,25.159,3.0,7
7,0.5180493593215942,0.7917561185057965,0.7468143343551654,0.7503090957755112,0.7444824885308269,0.7491340920336468,0.7623363544813696,0.7363813229571985,0.8626444159178432,0.8711111111111111,0.8543407192154013,0.6286644951140065,0.6,0.6602052451539339,5.8044,802.494,25.153,3.0,8
8,0.5268098711967468,0.7851009016745384,0.7368234036697839,0.7451343913783263,0.736077586281866,0.7497639282341831,0.7995971802618328,0.7057777777777777,0.8557323093801427,0.8666666666666667,0.8450704225352113,0.604973973395026,0.5419689119170984,0.6845549738219895,6.5696,709.024,22.224,3.0,9
9,0.5426075458526611,0.7823100042936882,0.7335286955766634,0.7387880217089333,0.7317157600806876,0.7334300919206579,0.7633434038267876,0.7057728119180633,0.8571951666056389,0.867037037037037,0.8475742215785662,0.6099608282036934,0.5647668393782384,0.6630170316301703,5.8505,796.178,24.955,3.0,10
